12	glucose	ammonium04	106	2	102	1	102	1	106	2
12	glucose	proline	103	1	105	2	106	2	104	2
12	glucose	glutamate	103	2	105	1	104	1	104	1
12	glucose	glutamine	104	1	104	2	104	2	103	2
12	glucose	arginine	104	2	104	1	105	1	102	1
12	glucose	urea	105	1	103	2	102	2	103	1
12	glucose	allantoin	105	2	103	1	103	1	102	2
12	galactose	ammonium	107	1	110	1	109	1	109	1
12	galactose	proline	107	2	109	2	109	2	108	2
12	galactose	glutamate	108	2	109	1	107	1	108	1
12	galactose	glutamine	108	1	108	2	110	1	107	2
12	galactose	arginine	109	1	107	2	108	2	110	1
12	galactose	urea	109	2	108	1	107	2	107	1
12	galactose	allantoin	110	1	107	1	108	1	109	2
13	glucose	ammonium01	111	1	115	2	114	2	115	1
13	glucose	ammonium02	111	2	115	1	115	1	114	2
13	glucose	ammonium03	115	1	111	1	111	2	111	2
13	glucose	ammonium04	115	2	111	2	111	1	112	1
13	glucose	proline	114	1	112	1	112	2	113	2
13	glucose	glutamate	112	1	114	2	115	2	114	1
13	glucose	glutamine	112	2	114	1	113	1	113	1
13	glucose	arginine	113	1	113	2	113	2	112	2
13	glucose	urea	113	2	113	1	114	1	115	2
13	glucose	allantoin	114	2	112	2	112	1	111	1
13	galactose	ammonium	117	1	118	2	118	2	118	2
13	galactose	proline	117	2	119	1	118	1	119	1
13	galactose	glutamate	118	1	117	2	117	1	117	2
13	galactose	glutamine	118	2	118	1	119	1	118	1
13	galactose	arginine	119	1	116	2	116	1	116	2
13	galactose	urea	119	2	117	1	117	2	117	1
13	galactose	allantoin	120	1	116	1	116	2	116	1
14	glucose	ammonium01	121	1	130	1	123	1	124	1
14	glucose	ammonium02	121	2	129	2	121	2	121	2
14	glucose	ammonium03	125	1	132	2	120	1	120	2
14	glucose	ammonium04	125	2	133	1	124	1	123	1
14	glucose	proline	122	1	132	1	120	2	120	1
14	glucose	glutamate	122	2	129	1	121	1	122	1
14	glucose	glutamine	123	1	131	1	122	1	121	1
14	glucose	arginine	123	2	131	2	124	2	122	2
14	glucose	urea	124	1	133	2	123	2	123	2
14	glucose	allantoin	124	2	130	2	122	2	124	2
14	galactose	ammonium	126	1	135	2	126	1	127	1
14	galactose	proline	126	2	135	1	126	2	126	2
14	galactose	glutamate	128	1	137	1	127	1	125	2
14	galactose	glutamine	128	2	136	2	127	2	128	1
14	galactose	arginine	127	1	134	2	125	2	125	1
14	galactose	urea	127	2	134	1	125	1	126	1
14	galactose	allantoin	129	1	136	1	128	1	127	2
15	glucose	ammonium01	130	1	124	2	132	2	133	2
15	glucose	ammonium02	130	2	124	1	133	1	133	1
15	glucose	ammonium03	134	1	120	1	129	1	129	2
15	glucose	ammonium04	134	2	120	2	129	2	129	1
15	glucose	proline	131	1	123	1	131	1	132	1
15	glucose	glutamate	131	2	123	2	133	2	132	2
15	glucose	glutamine	132	1	122	1	132	1	131	1
15	glucose	arginine	132	2	122	2	131	2	131	2
15	glucose	urea	133	1	121	2	130	1	130	2
15	glucose	allantoin	133	2	121	1	130	2	130	1
15	galactose	ammonium	135	1	127	2	136	2	136	2
15	galactose	proline	135	2	128	1	136	1	137	1
15	galactose	glutamate	136	1	126	2	135	2	135	1
15	galactose	glutamine	136	2	127	1	137	1	136	1
15	galactose	arginine	137	1	125	2	134	1	134	2
15	galactose	urea	137	2	126	1	135	1	135	2
15	galactose	allantoin	138	1	125	1	134	2	134	1
