ORF	Condition1	Condition2	x Coord	y Coord	Area	Eccentricity	Perimeter
YAR002C-A	galactose	glutamate	1968.000000	1142.000000	0.000000	0.000000	0.000000
YIR023W	galactose	glutamate	2106.000000	1142.000000	0.000000	0.000000	0.000000
YML035C	galactose	glutamate	2246.061798	1134.160112	356.000000	0.731720	92.426407
YIL092W	galactose	glutamate	2385.121372	1133.559367	379.000000	0.731159	81.012193
YKR053C	galactose	glutamate	2523.398964	1133.720207	386.000000	0.669235	73.941125
YIL058W	galactose	glutamate	2661.067524	1133.302251	622.000000	0.678070	115.982756
YKR046C	galactose	glutamate	2800.976401	1133.339233	339.000000	0.720018	75.941125
YIL030C	galactose	glutamate	2938.696891	1133.168394	386.000000	0.674271	77.012193
YKR041W	galactose	glutamate	3072.000000	1142.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	3215.454183	1133.914343	502.000000	0.690892	85.597980
wild-type	galactose	glutamate	3353.291304	1133.504348	460.000000	0.507308	78.183766
YDL050C	galactose	glutamate	169.515337	1285.883436	326.000000	0.305400	66.526912
YPR050C	galactose	glutamate	310.240695	1283.920596	403.000000	0.534864	77.597980
YDL049C	galactose	glutamate	447.558758	1283.150776	451.000000	0.665234	91.012193
YPR043W	galactose	glutamate	588.000000	1284.000000	0.000000	0.000000	0.000000
YDL048C	galactose	glutamate	723.223214	1282.029018	448.000000	0.621973	84.426407
YPR037C	galactose	glutamate	862.000000	1281.701456	412.000000	0.652220	81.012193
YDL046W	galactose	glutamate	1000.109312	1281.091093	494.000000	0.592820	96.183766
YPR031W	galactose	glutamate	1138.040323	1280.326613	496.000000	0.657811	92.669048
blank	galactose	glutamate	1278.000000	1284.000000	0.000000	0.000000	0.000000
YPR026W	galactose	glutamate	1415.926635	1280.422648	627.000000	0.580257	125.639610
YDL045W-A	galactose	glutamate	1554.000000	1284.000000	0.000000	0.000000	0.000000
blank	galactose	glutamate	1692.000000	1284.000000	0.000000	0.000000	0.000000
YDL044C	galactose	glutamate	1830.000000	1284.000000	0.000000	0.000000	0.000000
YPR024W	galactose	glutamate	1968.792952	1277.592511	454.000000	0.635692	109.982756
